PROVINCE,DIVISION,DISTRICT,TEHSIL,NOW_POPULATION,POPULATION 1998,FEMALE_POPULATION,MALE_POPULATION,AREA (sq.km),AVG_HOUSEHOLD_SIZE,TRANSGENDER_POPULATION,SEX_RATIO,ANNUAL_GROWTH_RATE,Population Density,POPULATION_INCREASE
PUNJAB,FAISALABAD DIVISION,FAISALABAD DISTRICT,TANDLIAN WALA TEHSIL,703155,540802,344087,359015,1284.0,12.809999999999999,53,104.4810328,1.3616,547.6285046728972,162353
PUNJAB,FAISALABAD DIVISION,JHANG DISTRICT,18-HAZARI TEHSIL,295714,200036,146000,149692,1566.0,12.39,22,102.3910389,1.55,188.8339719029374,95678
PUNJAB,FAISALABAD DIVISION,JHANG DISTRICT,AHMADPUR SIAL TEHSIL,433534,296465,214001,219496,851.0,13.21,37,102.771015,2.02201,509.4406580493537,137069
PUNJAB,FAISALABAD DIVISION,JHANG DISTRICT,JHANG TEHSIL,1464818,999130,717280,747381,2591.0,12.45,157,104.1710425,2.12182,565.348514087225,465688
PUNJAB,FAISALABAD DIVISION,JHANG DISTRICT,SHORKOT TEHSIL,548567,373790,270163,278359,1158.0,12.489999999999998,45,103.2610159,2.08178,473.71934369602764,174777
PUNJAB,FAISALABAD DIVISION,TOBA TEK SINGH DISTRICT,GOJRA TEHSIL,657222,495096,327690,329446,851.0,12.9,86,100.959939,1.3209,772.2937720329024,162126
PUNJAB,FAISALABAD DIVISION,TOBA TEK SINGH DISTRICT,KAMALIA TEHSIL,372010,283674,184466,187494,486.0,13.02,50,102.3310044,1.26176,765.4526748971193,88336
PUNJAB,FAISALABAD DIVISION,TOBA TEK SINGH DISTRICT,PIRMAHAL TEHSIL,422246,288592,209733,212466,774.0,12.32,47,101.3810065,2.02201,545.5374677002584,133654
PUNJAB,FAISALABAD DIVISION,TOBA TEK SINGH DISTRICT,TOBA TEK SINGH TEHSIL,740017,554231,368990,370959,1141.0,12.219999999999999,68,101.03969,1.47199,648.5687992988607,185786
PUNJAB,GUJRANWALA DIVISION,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,259764,115122,128365,131374,131.0,13.26,25,105.3610117,6.93362,1982.9312977099237,144642
PUNJAB,GUJRANWALA DIVISION,GUJRANWALA DISTRICT,GUJRANWALA SADDAR TEHSIL,2806529,1812137,1379480,1426685,783.0,13.26,364,100.7710422,0.47304,3584.3282247765005,994392
PUNJAB,GUJRANWALA DIVISION,GUJRANWALA DISTRICT,KAMOKE TEHSIL,579690,405366,285392,294210,834.0,13.84,88,102.9110333,1.42261,695.0719424460432,174324
PUNJAB,GUJRANWALA DIVISION,GUJRANWALA DISTRICT,NOWSHERA VIRKAN TEHSIL,534811,424082,266373,268389,678.0,14.129999999999999,49,100.8110022,1.15199,788.806784660767,110729
PUNJAB,GUJRANWALA DIVISION,GUJRANWALA DISTRICT,WAZIRABAD TEHSIL,830272,644233,421847,408332,1196.0,12.67,93,96.74969,1.09182,694.2073578595317,186039
PUNJAB,GUJRANWALA DIVISION,GUJRAT DISTRICT,GUJRAT TEHSIL,1497706,1093088,771507,726071,1463.0,12.41,128,92.259747,1.42213,1023.7224880382776,404618
PUNJAB,GUJRANWALA DIVISION,GUJRAT DISTRICT,KHARIAN TEHSIL,1011262,779632,520990,490199,1154.0,12.32,73,89.151130,1.29167,876.3102253032929,231630
PUNJAB,GUJRANWALA DIVISION,GUJRAT DISTRICT,SARAI ALAMGIR TEHSIL,247321,175288,128798,118505,575.0,11.82,18,91.399421,1.76207,430.12347826086955,72033
PUNJAB,GUJRANWALA DIVISION,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,663916,485187,330271,333591,1189.0,13.27,54,100.710147,0.931,558.3818334735072,178729
PUNJAB,GUJRANWALA DIVISION,HAFIZABAD DISTRICT,PINDI BHATTIAN TEHSIL,493038,347793,241917,251077,1178.0,12.969999999999999,44,104.0510311,1.47298,418.53820033955856,145245
PUNJAB,GUJRANWALA DIVISION,MANDI BAHAUDDIN DISTRICT,MALAKWAL TEHSIL,372171,281710,190411,181717,759.0,12.01,43,95.699349,1.44174,490.34387351778656,90461
PUNJAB,GUJRANWALA DIVISION,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN TEHSIL,668538,478946,344546,323903,759.0,12.55,89,93.059604,1.11347,880.8142292490119,189592
PUNJAB,GUJRANWALA DIVISION,MANDI BAHAUDDIN DISTRICT,PHALIA TEHSIL,553330,399896,283099,270168,1155.0,12.489999999999998,63,95.179743,1.49391,479.0735930735931,153434
PUNJAB,GUJRANWALA DIVISION,NAROWAL DISTRICT,NAROWAL TEHSIL,596539,425879,298230,298248,1065.0,13.77,61,100.149955,1.58256,560.1305164319249,170660
PUNJAB,GUJRANWALA DIVISION,NAROWAL DISTRICT,SHAKARGARH TEHSIL,672030,520855,344536,327438,835.0,13.42,56,95.049503,1.2253,804.8263473053893,151175
PUNJAB,GUJRANWALA DIVISION,NAROWAL DISTRICT,ZAFARWAL TEHSIL,439006,318363,224706,214248,437.0,13.780000000000001,52,95.359535,1.54366,1004.5903890160183,120643
PUNJAB,GUJRANWALA DIVISION,SIALKOT DISTRICT,DASKA TEHSIL,847117,605435,429042,417975,690.0,13.66,100,97.379756,1.53268,1227.7057971014492,241682
PUNJAB,GUJRANWALA DIVISION,SIALKOT DISTRICT,PASRUR TEHSIL,840847,611871,428685,412062,975.0,13.72,100,95.789816,1.57239,862.4071794871795,228976
PUNJAB,GUJRANWALA DIVISION,SIALKOT DISTRICT,SAMBRIAL TEHSIL,410823,298431,212509,198261,450.0,13.120000000000001,53,92.779435,0.99344,912.94,112392
PUNJAB,GUJRANWALA DIVISION,SIALKOT DISTRICT,SIALKOT TEHSIL,1796151,1207744,902914,892991,901.0,12.98,246,95.4510482,1.98232,1993.5083240843508,588407
